"age","fishery","value","length","sd_length","length_upper","length_lower"
3,6,0.0612,36.8601,4.2488,45.187748,28.532452
4,6,0.7452,46.8137,4.9057,56.428872,37.198528
5,6,1,54.9915,5.5208,65.812268,44.170732
6,6,0.5104,61.7104,6.0834,73.633864,49.786936
7,6,0.3062,67.2307,6.5883,80.143768,54.317632
8,6,0.2866,71.7662,7.0343,85.553428,57.978972
9,6,0.3366,75.4925,7.4233,90.042168,60.942832
10,6,0.4122,78.5541,7.7589,93.761544,63.346656
11,6,0.4897,81.0695,8.0459,96.839464,65.299536
12,6,0.5535,83.1361,8.2897,99.383912,66.888288
13,6,0.5967,84.8341,8.4955,101.48528,68.18292
14,6,0.6193,86.2291,8.6685,103.21936,69.23884
15,6,0.6257,87.3753,8.8132,104.649172,70.101428
16,6,0.6257,88.317,8.9338,105.827248,70.806752
1,7,0.009,10,2.8826,15.649896,4.350104
2,7,0.0104,24.7453,3.5668,31.736228,17.754372
3,7,0.0859,36.8601,4.2488,45.187748,28.532452
4,7,0.7306,46.8137,4.9057,56.428872,37.198528
5,7,1,54.9915,5.5208,65.812268,44.170732
6,7,0.5923,61.7104,6.0834,73.633864,49.786936
7,7,0.3782,67.2307,6.5883,80.143768,54.317632
8,7,0.3331,71.7662,7.0343,85.553428,57.978972
9,7,0.3506,75.4925,7.4233,90.042168,60.942832
10,7,0.387,78.5541,7.7589,93.761544,63.346656
11,7,0.4244,81.0695,8.0459,96.839464,65.299536
12,7,0.4545,83.1361,8.2897,99.383912,66.888288
13,7,0.4743,84.8341,8.4955,101.48528,68.18292
14,7,0.4847,86.2291,8.6685,103.21936,69.23884
15,7,0.4876,87.3753,8.8132,104.649172,70.101428
16,7,0.4876,88.317,8.9338,105.827248,70.806752
1,8,0.0035,10,2.8826,15.649896,4.350104
2,8,0.0603,24.7453,3.5668,31.736228,17.754372
3,8,0.6347,36.8601,4.2488,45.187748,28.532452
4,8,1,46.8137,4.9057,56.428872,37.198528
5,8,0.8639,54.9915,5.5208,65.812268,44.170732
6,8,0.6483,61.7104,6.0834,73.633864,49.786936
7,8,0.4895,67.2307,6.5883,80.143768,54.317632
8,8,0.3911,71.7662,7.0343,85.553428,57.978972
9,8,0.332,75.4925,7.4233,90.042168,60.942832
10,8,0.2967,78.5541,7.7589,93.761544,63.346656
11,8,0.2758,81.0695,8.0459,96.839464,65.299536
12,8,0.2638,83.1361,8.2897,99.383912,66.888288
13,8,0.2574,84.8341,8.4955,101.48528,68.18292
14,8,0.2545,86.2291,8.6685,103.21936,69.23884
15,8,0.2537,87.3753,8.8132,104.649172,70.101428
16,8,0.2537,88.317,8.9338,105.827248,70.806752
1,9,0.0029,10,2.8826,15.649896,4.350104
2,9,0.0046,24.7453,3.5668,31.736228,17.754372
3,9,0.0496,36.8601,4.2488,45.187748,28.532452
4,9,0.5148,46.8137,4.9057,56.428872,37.198528
5,9,1,54.9915,5.5208,65.812268,44.170732
6,9,0.7162,61.7104,6.0834,73.633864,49.786936
7,9,0.3938,67.2307,6.5883,80.143768,54.317632
8,9,0.2244,71.7662,7.0343,85.553428,57.978972
9,9,0.1441,75.4925,7.4233,90.042168,60.942832
10,9,0.1048,78.5541,7.7589,93.761544,63.346656
11,9,0.0846,81.0695,8.0459,96.839464,65.299536
12,9,0.0741,83.1361,8.2897,99.383912,66.888288
13,9,0.0688,84.8341,8.4955,101.48528,68.18292
14,9,0.0664,86.2291,8.6685,103.21936,69.23884
15,9,0.0658,87.3753,8.8132,104.649172,70.101428
16,9,0.0658,88.317,8.9338,105.827248,70.806752
1,10,0.0911,10,2.8826,15.649896,4.350104
2,10,0.8619,24.7453,3.5668,31.736228,17.754372
3,10,1,36.8601,4.2488,45.187748,28.532452
4,10,0.2069,46.8137,4.9057,56.428872,37.198528
5,10,0.1026,54.9915,5.5208,65.812268,44.170732
6,10,0.0981,61.7104,6.0834,73.633864,49.786936
7,10,0.1078,67.2307,6.5883,80.143768,54.317632
8,10,0.1135,71.7662,7.0343,85.553428,57.978972
9,10,0.1146,75.4925,7.4233,90.042168,60.942832
10,10,0.1141,78.5541,7.7589,93.761544,63.346656
11,10,0.1131,81.0695,8.0459,96.839464,65.299536
12,10,0.1123,83.1361,8.2897,99.383912,66.888288
13,10,0.1117,84.8341,8.4955,101.48528,68.18292
14,10,0.1114,86.2291,8.6685,103.21936,69.23884
15,10,0.1113,87.3753,8.8132,104.649172,70.101428
16,10,0.1113,88.317,8.9338,105.827248,70.806752
1,11,0.0113,10,2.8826,15.649896,4.350104
2,11,0.0277,24.7453,3.5668,31.736228,17.754372
3,11,0.203,36.8601,4.2488,45.187748,28.532452
4,11,0.8727,46.8137,4.9057,56.428872,37.198528
5,11,1,54.9915,5.5208,65.812268,44.170732
6,11,0.6444,61.7104,6.0834,73.633864,49.786936
7,11,0.4313,67.2307,6.5883,80.143768,54.317632
8,11,0.3567,71.7662,7.0343,85.553428,57.978972
9,11,0.3371,75.4925,7.4233,90.042168,60.942832
10,11,0.3362,78.5541,7.7589,93.761544,63.346656
11,11,0.341,81.0695,8.0459,96.839464,65.299536
12,11,0.3464,83.1361,8.2897,99.383912,66.888288
13,11,0.3504,84.8341,8.4955,101.48528,68.18292
14,11,0.3527,86.2291,8.6685,103.21936,69.23884
15,11,0.3533,87.3753,8.8132,104.649172,70.101428
16,11,0.3533,88.317,8.9338,105.827248,70.806752
1,12,0.0143,10,2.8826,15.649896,4.350104
2,12,0.0143,24.7453,3.5668,31.736228,17.754372
3,12,0.0593,36.8601,4.2488,45.187748,28.532452
4,12,0.3429,46.8137,4.9057,56.428872,37.198528
5,12,0.7845,54.9915,5.5208,65.812268,44.170732
6,12,0.9761,61.7104,6.0834,73.633864,49.786936
7,12,1,67.2307,6.5883,80.143768,54.317632
8,12,0.9964,71.7662,7.0343,85.553428,57.978972
9,12,0.9936,75.4925,7.4233,90.042168,60.942832
10,12,0.9916,78.5541,7.7589,93.761544,63.346656
11,12,0.9903,81.0695,8.0459,96.839464,65.299536
12,12,0.9895,83.1361,8.2897,99.383912,66.888288
13,12,0.9891,84.8341,8.4955,101.48528,68.18292
14,12,0.9889,86.2291,8.6685,103.21936,69.23884
15,12,0.9888,87.3753,8.8132,104.649172,70.101428
16,12,0.9888,88.317,8.9338,105.827248,70.806752
1,13,0.0086,10,2.8826,15.649896,4.350104
2,13,0.0079,24.7453,3.5668,31.736228,17.754372
3,13,0.0541,36.8601,4.2488,45.187748,28.532452
4,13,0.5127,46.8137,4.9057,56.428872,37.198528
5,13,1,54.9915,5.5208,65.812268,44.170732
6,13,0.7833,61.7104,6.0834,73.633864,49.786936
7,13,0.5174,67.2307,6.5883,80.143768,54.317632
8,13,0.3767,71.7662,7.0343,85.553428,57.978972
9,13,0.3058,75.4925,7.4233,90.042168,60.942832
10,13,0.2676,78.5541,7.7589,93.761544,63.346656
11,13,0.2466,81.0695,8.0459,96.839464,65.299536
12,13,0.235,83.1361,8.2897,99.383912,66.888288
13,13,0.229,84.8341,8.4955,101.48528,68.18292
14,13,0.2264,86.2291,8.6685,103.21936,69.23884
15,13,0.2257,87.3753,8.8132,104.649172,70.101428
16,13,0.2257,88.317,8.9338,105.827248,70.806752
1,14,0,10,2.8826,15.649896,4.350104
2,14,0,24.7453,3.5668,31.736228,17.754372
3,14,0.1037,36.8601,4.2488,45.187748,28.532452
4,14,0.9633,46.8137,4.9057,56.428872,37.198528
5,14,1,54.9915,5.5208,65.812268,44.170732
6,14,0.6261,61.7104,6.0834,73.633864,49.786936
7,14,0.4228,67.2307,6.5883,80.143768,54.317632
8,14,0.3587,71.7662,7.0343,85.553428,57.978972
9,14,0.3485,75.4925,7.4233,90.042168,60.942832
10,14,0.3556,78.5541,7.7589,93.761544,63.346656
11,14,0.3668,81.0695,8.0459,96.839464,65.299536
12,14,0.3767,83.1361,8.2897,99.383912,66.888288
13,14,0.3835,84.8341,8.4955,101.48528,68.18292
14,14,0.3871,86.2291,8.6685,103.21936,69.23884
15,14,0.3882,87.3753,8.8132,104.649172,70.101428
16,14,0.3882,88.317,8.9338,105.827248,70.806752
1,15,0.003,10,2.8826,15.649896,4.350104
2,15,0.0189,24.7453,3.5668,31.736228,17.754372
3,15,0.2551,36.8601,4.2488,45.187748,28.532452
4,15,1,46.8137,4.9057,56.428872,37.198528
5,15,0.9272,54.9915,5.5208,65.812268,44.170732
6,15,0.4826,61.7104,6.0834,73.633864,49.786936
7,15,0.2622,67.2307,6.5883,80.143768,54.317632
8,15,0.1785,71.7662,7.0343,85.553428,57.978972
9,15,0.1439,75.4925,7.4233,90.042168,60.942832
10,15,0.1276,78.5541,7.7589,93.761544,63.346656
11,15,0.1196,81.0695,8.0459,96.839464,65.299536
12,15,0.1155,83.1361,8.2897,99.383912,66.888288
13,15,0.1136,84.8341,8.4955,101.48528,68.18292
14,15,0.1128,86.2291,8.6685,103.21936,69.23884
15,15,0.1126,87.3753,8.8132,104.649172,70.101428
16,15,0.1126,88.317,8.9338,105.827248,70.806752
1,16,0.004,10,2.8826,15.649896,4.350104
2,16,0.0083,24.7453,3.5668,31.736228,17.754372
3,16,0.0577,36.8601,4.2488,45.187748,28.532452
4,16,0.3618,46.8137,4.9057,56.428872,37.198528
5,16,0.864,54.9915,5.5208,65.812268,44.170732
6,16,1,61.7104,6.0834,73.633864,49.786936
7,16,0.7921,67.2307,6.5883,80.143768,54.317632
8,16,0.5302,71.7662,7.0343,85.553428,57.978972
9,16,0.3547,75.4925,7.4233,90.042168,60.942832
10,16,0.2565,78.5541,7.7589,93.761544,63.346656
11,16,0.2035,81.0695,8.0459,96.839464,65.299536
12,16,0.1751,83.1361,8.2897,99.383912,66.888288
13,16,0.1606,84.8341,8.4955,101.48528,68.18292
14,16,0.154,86.2291,8.6685,103.21936,69.23884
15,16,0.1523,87.3753,8.8132,104.649172,70.101428
16,16,0.1523,88.317,8.9338,105.827248,70.806752
1,17,0.0048,10,2.8826,15.649896,4.350104
2,17,0.0048,24.7453,3.5668,31.736228,17.754372
3,17,0.0134,36.8601,4.2488,45.187748,28.532452
4,17,0.0626,46.8137,4.9057,56.428872,37.198528
5,17,0.2142,54.9915,5.5208,65.812268,44.170732
6,17,0.4782,61.7104,6.0834,73.633864,49.786936
7,17,0.7517,67.2307,6.5883,80.143768,54.317632
8,17,0.9196,71.7662,7.0343,85.553428,57.978972
9,17,0.9861,75.4925,7.4233,90.042168,60.942832
10,17,1,78.5541,7.7589,93.761544,63.346656
11,17,0.994,81.0695,8.0459,96.839464,65.299536
12,17,0.9839,83.1361,8.2897,99.383912,66.888288
13,17,0.9757,84.8341,8.4955,101.48528,68.18292
14,17,0.9711,86.2291,8.6685,103.21936,69.23884
15,17,0.9697,87.3753,8.8132,104.649172,70.101428
16,17,0.9697,88.317,8.9338,105.827248,70.806752
1,18,0.0035,10,2.8826,15.649896,4.350104
2,18,0.0603,24.7453,3.5668,31.736228,17.754372
3,18,0.6347,36.8601,4.2488,45.187748,28.532452
4,18,1,46.8137,4.9057,56.428872,37.198528
5,18,0.8639,54.9915,5.5208,65.812268,44.170732
6,18,0.6483,61.7104,6.0834,73.633864,49.786936
7,18,0.4895,67.2307,6.5883,80.143768,54.317632
8,18,0.3911,71.7662,7.0343,85.553428,57.978972
9,18,0.332,75.4925,7.4233,90.042168,60.942832
10,18,0.2967,78.5541,7.7589,93.761544,63.346656
11,18,0.2758,81.0695,8.0459,96.839464,65.299536
12,18,0.2638,83.1361,8.2897,99.383912,66.888288
13,18,0.2574,84.8341,8.4955,101.48528,68.18292
14,18,0.2545,86.2291,8.6685,103.21936,69.23884
15,18,0.2537,87.3753,8.8132,104.649172,70.101428
16,18,0.2537,88.317,8.9338,105.827248,70.806752
